"id","Content","Published Time","Formatted Date","Author Name","Author Channel ID","Author Channel URL","Author Avatar URL","Is Verified Author","Like Count","Reply Count"
"UgzfjFDciZt__XjenyJ4AaABAg","Aku suka jennie kaya gini daripada jennie yang kurus bangettt","23 hours ago","Not Available","@dariusdariya4927","UCsIruMtURZu0csQueq_jouA","https://www.youtube.com/@dariusdariya4927","https://yt3.ggpht.com/ytc/AIdro_lkBLlwzgQSJbuHdGtkE9dqb8ul4BjR2cHzfxPqy6s=s88-c-k-c0x00ffffff-no-rj","No","217","2"
"UgxLn_tgeADor4TDVEZ4AaABAg","Kalo diliat dari muka nya dia kena panic attack ya","1 day ago","2026/01/03","@APAKAHINIMY-v4o","UC7IJWFfKF41KuGJtXLVKwag","https://www.youtube.com/@APAKAHINIMY-v4o","https://yt3.ggpht.com/ytc/AIdro_n2udBzeYBteVO94AOvACDKqyHN4sBTqV2YenVzO3Y2Ic5h7sd9c1UhQi-g7V9kvb_L3A=s88-c-k-c0x00ffffff-no-rj","No","170","22"
"UgyFjJhuNa1uzEZMDeV4AaABAg","Gua suka member² BP yg skrng karna pada berisi jadi keliatan seger sehat aja di liat nya, Kya rose aja jadi tambah cantik waktu itu kan sampe kurus bngt kaki nya...","15 hours ago","Not Available","@nonaEl-b4z","UCW2IJCv9ZYD9qov9mWvHcTw","https://www.youtube.com/@nonaEl-b4z","https://yt3.ggpht.com/ytc/AIdro_mS7ZW0HsPy6zl7d6yquO4kWn1m9yms6J3Bqqkkgj1i98jeLCXdXmySJ_MzX2tbjRBORA=s88-c-k-c0x00ffffff-no-rj","No","27","Not Available"
"UgySJU92xyDNP5pGBiF4AaABAg","dalam kepala dia lihat apa aku nyayi ko pon tak semua oaham apa ko cakap pon aku tak paham😂😂","1 day ago","2026/01/03","@raimizubir7246","UCQpl72aBjHn53Z542lJ8Hdw","https://www.youtube.com/@raimizubir7246","https://yt3.ggpht.com/ytc/AIdro_lTsn_SEf4XL2vXIaaoqLUud5NQ9oq-8qVva6nli6qHfYKIw450e_k2BCXQMQ4EGZfOvw=s88-c-k-c0x00ffffff-no-rj","No","23","Not Available"
"UgxfGuIGFWTPIv5mVmt4AaABAg","Tutorialnya bikin pinter! 💕𝐌0𝐍𝐀𝟒𝐃🟣 bikin aku langsung ngerti triknya!","7 hours ago","Not Available","@AlfredTrifoglio","UCDFQiO7nDuVb7mM0l5hpu-A","https://www.youtube.com/@AlfredTrifoglio","https://yt3.ggpht.com/gEaBTK_vcFjDWfqmDVXL_G98dY47MMt7QBpY7DK3RKlbXp9bOZVq9xXKXpmG19rfM5FoD-dL=s88-c-k-c0x00ffffff-no-rj","No","2","Not Available"
"UgzSNHFpx8TdzO1da314AaABAg","Musiknya bikin semangat! 💕𝐌0𝐍𝐀𝟒𝐃🟣 bikin aku pengen joget seharian!","7 hours ago","Not Available","@SherriMacleod","UCE3shkEeV3Q7O7_DYJK_kPg","https://www.youtube.com/@SherriMacleod","https://yt3.ggpht.com/ytc/AIdro_nlBilyjMA1U52oKK26XZ_UcnniCFBmVBEaZcWRZocnDN18ZKMnESUSGCHsm8S0Thv9RQ=s88-c-k-c0x00ffffff-no-rj","No"," ","Not Available"
"UgwMR9UZ_hWewWeptoF4AaABAg","Tutorialnya bikin hidup lebih gampang! 💕𝐌0𝐍𝐀𝟒𝐃🟣 bikin aku langsung coba!","7 hours ago","Not Available","@JosefMargot","UCCh_-kDRMHPRS6DtS0hNV3g","https://www.youtube.com/@JosefMargot","https://yt3.ggpht.com/4jXjfH69vmdlpAwShiSw_OIM7YBLe7tFCmysdaMMWWtB_CJlxtdLuOqb2G1ZGZ2nJxPoXiNx=s88-c-k-c0x00ffffff-no-rj","No"," ","Not Available"
"Ugxft4Q3CkfRvhbYAPt4AaABAg","Lagu ini bikin mood naik! 💕𝐌0𝐍𝐀𝟒𝐃🟣 bikin aku pengen nyanyi bareng!","7 hours ago","Not Available","@DominiqueKazam","UCD3Ca0KiFcfMW0p90NS5SbQ","https://www.youtube.com/@DominiqueKazam","https://yt3.ggpht.com/Ce7abKWRZr2lPaeeQKvuaXXTiTMRun9mU15ZgprnkyLZfxBSqBjeyn4huPAtxFRZaxrlzHirlw=s88-c-k-c0x00ffffff-no-rj","No"," ","Not Available"
"UgxtQh3R9pwYV01z4ZJ4AaABAg","Tipsnya berguna abis! 💕𝐌0𝐍𝐀𝟒𝐃🟣 bikin aku pengen praktek sekarang juga!","7 hours ago","Not Available","@AbrahamVideo-u4z","UC-TzRD9W1t6Tw4c-6Pjf3OA","https://www.youtube.com/@AbrahamVideo-u4z","https://yt3.ggpht.com/Ri3Fa6mCoCCZuG68BLllu3aJt7L4t4wL0PKzQSFyophewTygATsXwQVzvYUujkJhdnUtiyZCvQ=s88-c-k-c0x00ffffff-no-rj","No"," ","Not Available"
"UgwzlTQMkFim20nzDSp4AaABAg","Keren banget konsepnya! 💕𝐌0𝐍𝐀𝟒𝐃🟣 bikin video ini beda dari yang lain!","7 hours ago","Not Available","@JordanaEllis","UCa69cU41B3DluVoFiCKByKQ","https://www.youtube.com/@JordanaEllis","https://yt3.ggpht.com/edt-JEXoTEPtKoRkvcYFiwBiTVZo9WGHWQ4Q8wTVv42rkf_QjLMGCvdhKi1w82tcEZ5FuqHt9g=s88-c-k-c0x00ffffff-no-rj","No"," ","Not Available"
